typeId,typeName,date,level
2,Nitric Oxide,2016-03-04,5
2,Nitric Oxide,2016-03-05,2
2,Nitric Oxide,2016-03-06,2
2,Nitric Oxide,2016-03-07,8
2,Nitric Oxide,2016-03-08,16
2,Nitric Oxide,2016-03-09,3
2,Nitric Oxide,2016-03-10,11
2,Nitric Oxide,2016-03-11,45
2,Nitric Oxide,2016-03-12,23
2,Nitric Oxide,2016-03-13,3
2,Nitric Oxide,2016-03-14,3
2,Nitric Oxide,2016-03-15,5
2,Nitric Oxide,2016-03-16,3
2,Nitric Oxide,2016-03-17,4
2,Nitric Oxide,2016-03-18,17
2,Nitric Oxide,2016-03-19,2
2,Nitric Oxide,2016-03-20,3
2,Nitric Oxide,2016-03-21,9
2,Nitric Oxide,2016-03-22,6
2,Nitric Oxide,2016-03-23,9
2,Nitric Oxide,2016-03-24,5
2,Nitric Oxide,2016-03-25,2
2,Nitric Oxide,2016-03-26,1
2,Nitric Oxide,2016-03-27,1
2,Nitric Oxide,2016-03-28,1
2,Nitric Oxide,2016-03-29,2
2,Nitric Oxide,2016-03-30,4
2,Nitric Oxide,2016-03-31,8
2,Nitric Oxide,2016-04-01,6
2,Nitric Oxide,2016-04-02,1
2,Nitric Oxide,2016-04-03,1
2,Nitric Oxide,2016-04-04,3
2,Nitric Oxide,2016-04-05,5
2,Nitric Oxide,2016-04-06,2
2,Nitric Oxide,2016-04-07,2
2,Nitric Oxide,2016-04-08,3
2,Nitric Oxide,2016-04-09,4
2,Nitric Oxide,2016-04-10,1
2,Nitric Oxide,2016-04-11,11
2,Nitric Oxide,2016-04-12,11
2,Nitric Oxide,2016-04-13,16
2,Nitric Oxide,2016-04-14,3
2,Nitric Oxide,2016-04-15,3
2,Nitric Oxide,2016-04-16,2
2,Nitric Oxide,2016-04-17,2
2,Nitric Oxide,2016-04-18,10
2,Nitric Oxide,2016-04-19,3
2,Nitric Oxide,2016-04-20,4
2,Nitric Oxide,2016-04-21,4
2,Nitric Oxide,2016-04-22,3
2,Nitric Oxide,2016-04-23,2
2,Nitric Oxide,2016-04-24,1
2,Nitric Oxide,2016-04-25,2
2,Nitric Oxide,2016-04-26,3
2,Nitric Oxide,2016-04-27,4
2,Nitric Oxide,2016-04-28,7
2,Nitric Oxide,2016-04-29,3
2,Nitric Oxide,2016-04-30,1
2,Nitric Oxide,2016-05-01,6
2,Nitric Oxide,2016-05-02,2
2,Nitric Oxide,2016-05-03,3
2,Nitric Oxide,2016-05-04,13
2,Nitric Oxide,2016-05-05,5
2,Nitric Oxide,2016-05-06,4
2,Nitric Oxide,2016-05-07,2
2,Nitric Oxide,2016-05-08,1
2,Nitric Oxide,2016-05-09,2
2,Nitric Oxide,2016-05-10,6
2,Nitric Oxide,2016-05-11,5
2,Nitric Oxide,2016-05-12,2
2,Nitric Oxide,2016-05-13,2
2,Nitric Oxide,2016-05-14,1
2,Nitric Oxide,2016-05-15,2
2,Nitric Oxide,2016-05-16,3
2,Nitric Oxide,2016-05-17,3
2,Nitric Oxide,2016-05-18,2
2,Nitric Oxide,2016-05-19,3
2,Nitric Oxide,2016-05-20,2
2,Nitric Oxide,2016-05-21,2
2,Nitric Oxide,2016-05-22,3
2,Nitric Oxide,2016-05-23,4
2,Nitric Oxide,2016-05-24,2
2,Nitric Oxide,2016-05-25,3
2,Nitric Oxide,2016-05-26,3
2,Nitric Oxide,2016-05-27,4
2,Nitric Oxide,2016-05-28,2
2,Nitric Oxide,2016-05-29,1
2,Nitric Oxide,2016-05-30,2
2,Nitric Oxide,2016-05-31,1
2,Nitric Oxide,2016-06-01,1
2,Nitric Oxide,2016-06-02,2
2,Nitric Oxide,2016-06-03,3
2,Nitric Oxide,2016-06-04,4
2,Nitric Oxide,2016-06-05,1
2,Nitric Oxide,2016-06-06,3
2,Nitric Oxide,2016-06-07,2
2,Nitric Oxide,2016-06-08,3
2,Nitric Oxide,2016-06-09,3
2,Nitric Oxide,2016-06-10,2
2,Nitric Oxide,2016-06-11,2
2,Nitric Oxide,2016-06-12,1
2,Nitric Oxide,2016-06-13,3
2,Nitric Oxide,2016-06-14,3
2,Nitric Oxide,2016-06-15,5
2,Nitric Oxide,2016-06-16,3
2,Nitric Oxide,2016-06-17,4
2,Nitric Oxide,2016-06-18,2
2,Nitric Oxide,2016-06-19,4
2,Nitric Oxide,2016-06-20,4
2,Nitric Oxide,2016-06-21,3
2,Nitric Oxide,2016-06-22,4
2,Nitric Oxide,2016-06-23,4
2,Nitric Oxide,2016-06-24,3
2,Nitric Oxide,2016-06-25,3
2,Nitric Oxide,2016-06-26,2
2,Nitric Oxide,2016-06-27,3
2,Nitric Oxide,2016-06-28,4
2,Nitric Oxide,2016-06-29,3
2,Nitric Oxide,2016-06-30,6
2,Nitric Oxide,2016-07-01,2
2,Nitric Oxide,2016-07-02,3
2,Nitric Oxide,2016-07-03,3
2,Nitric Oxide,2016-07-04,4
2,Nitric Oxide,2016-07-05,2
2,Nitric Oxide,2016-07-06,3
2,Nitric Oxide,2016-07-07,3
2,Nitric Oxide,2016-07-08,2
2,Nitric Oxide,2016-07-09,4
2,Nitric Oxide,2016-07-10,1
2,Nitric Oxide,2016-07-11,2
2,Nitric Oxide,2016-07-12,3
2,Nitric Oxide,2016-07-13,3
2,Nitric Oxide,2016-07-14,3
2,Nitric Oxide,2016-07-15,3
2,Nitric Oxide,2016-07-16,2
2,Nitric Oxide,2016-07-17,2
2,Nitric Oxide,2016-07-18,9
2,Nitric Oxide,2016-07-19,2
2,Nitric Oxide,2016-07-20,2
2,Nitric Oxide,2016-07-21,3
2,Nitric Oxide,2016-07-22,7
2,Nitric Oxide,2016-07-23,2
2,Nitric Oxide,2016-07-24,1
2,Nitric Oxide,2016-07-25,3
2,Nitric Oxide,2016-07-26,3
2,Nitric Oxide,2016-07-27,4
2,Nitric Oxide,2016-07-28,5
2,Nitric Oxide,2016-07-29,3
2,Nitric Oxide,2016-07-30,3
2,Nitric Oxide,2016-07-31,2
2,Nitric Oxide,2016-08-01,0
2,Nitric Oxide,2016-08-02,0
2,Nitric Oxide,2016-08-03,1
2,Nitric Oxide,2016-08-04,2
2,Nitric Oxide,2016-08-05,4
2,Nitric Oxide,2016-08-06,6
2,Nitric Oxide,2016-08-07,3
2,Nitric Oxide,2016-08-08,3
2,Nitric Oxide,2016-08-09,3
2,Nitric Oxide,2016-08-10,3
2,Nitric Oxide,2016-08-11,3
2,Nitric Oxide,2016-08-12,3
2,Nitric Oxide,2016-08-13,3
2,Nitric Oxide,2016-08-14,4
2,Nitric Oxide,2016-08-15,4
2,Nitric Oxide,2016-08-16,3
2,Nitric Oxide,2016-08-17,2
2,Nitric Oxide,2016-08-18,2
2,Nitric Oxide,2016-08-19,2
2,Nitric Oxide,2016-08-20,1
2,Nitric Oxide,2016-08-21,1
2,Nitric Oxide,2016-08-22,2
2,Nitric Oxide,2016-08-23,3
2,Nitric Oxide,2016-08-24,4
2,Nitric Oxide,2016-08-25,12
2,Nitric Oxide,2016-08-26,6
2,Nitric Oxide,2016-08-27,5
2,Nitric Oxide,2016-08-28,2
2,Nitric Oxide,2016-08-29,2
2,Nitric Oxide,2016-08-30,5
2,Nitric Oxide,2016-08-31,3
2,Nitric Oxide,2016-09-01,6
2,Nitric Oxide,2016-09-02,3
2,Nitric Oxide,2016-09-03,6
2,Nitric Oxide,2016-09-04,2
2,Nitric Oxide,2016-09-05,8
2,Nitric Oxide,2016-09-06,7
2,Nitric Oxide,2016-09-07,0
2,Nitric Oxide,2016-09-08,0
2,Nitric Oxide,2016-09-09,4
