typeId,typeName,date,percent
1,Ozone,2016-12-12,-59.13
1,Ozone,2016-12-13,-42.31
1,Ozone,2016-12-14,-35.10
1,Ozone,2016-12-15,-32.69
1,Ozone,2016-12-16,-56.73
1,Ozone,2016-12-17,-95.19
1,Ozone,2016-12-18,-87.98
1,Ozone,2016-12-19,-95.19
1,Ozone,2016-12-20,-73.56
1,Ozone,2016-12-21,-23.08
1,Ozone,2016-12-22,-68.75
1,Ozone,2016-12-23,27.40
1,Ozone,2016-12-24,68.27
1,Ozone,2016-12-25,73.08
1,Ozone,2016-12-26,12.98
1,Ozone,2016-12-27,-87.98
1,Ozone,2016-12-28,-80.77
1,Ozone,2016-12-29,-95.19
1,Ozone,2016-12-30,-95.19
1,Ozone,2016-12-31,-49.52
2,Nitric Oxide,2016-01-01,3.90
2,Nitric Oxide,2016-01-02,-61.04
2,Nitric Oxide,2016-01-03,-74.03
2,Nitric Oxide,2016-01-04,-48.05
2,Nitric Oxide,2016-01-05,55.84
2,Nitric Oxide,2016-01-06,94.81
2,Nitric Oxide,2016-01-07,-22.08
2,Nitric Oxide,2016-01-08,-35.06
2,Nitric Oxide,2016-01-09,-74.03
2,Nitric Oxide,2016-01-10,-74.03
2,Nitric Oxide,2016-01-11,211.69
2,Nitric Oxide,2016-01-12,-61.04
2,Nitric Oxide,2016-01-13,-9.09
2,Nitric Oxide,2016-01-14,-22.08
2,Nitric Oxide,2016-01-15,-35.06
2,Nitric Oxide,2016-01-16,510.39
2,Nitric Oxide,2016-01-17,341.56
2,Nitric Oxide,2016-01-18,-48.05
2,Nitric Oxide,2016-01-19,432.47
2,Nitric Oxide,2016-01-20,627.27
2,Nitric Oxide,2016-01-21,68.83
2,Nitric Oxide,2016-01-22,-48.05
2,Nitric Oxide,2016-01-23,-48.05
2,Nitric Oxide,2016-01-24,-61.04
2,Nitric Oxide,2016-01-25,-48.05
2,Nitric Oxide,2016-01-26,-74.03
2,Nitric Oxide,2016-01-27,-61.04
2,Nitric Oxide,2016-01-28,68.83
2,Nitric Oxide,2016-01-29,-48.05
2,Nitric Oxide,2016-01-30,-61.04
